Codigo;Descricao;Tipo;Unidade;Familia;Desc.Familia;Pos.IPI/NCM;Descr.Espec.;Materia Pri.;IPI de Pauta;Observacao;Serie
000000000000099;COR.SINCRO PU/ACO 20,0T10 410;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000100;COR.SINCRO.PU/ACO 20.0 T10 500;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000101;MOTOR BOSCH CEP F006WMO310;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000102;TEMPORIZADOR THOZ MDH370N J;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000103;BATERIA 12VXX18AH UP 12180;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000104;CARREGADOR DE B 5 AMP.;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000105;EXAUSTOR E40M4;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000106;PINO M5 B410;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000107;BOCAL M5 B410;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000108;PINO M6 B410;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000109;BOCAL M6 B410;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000110;PINO M8 B410;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000111;BOCAL M8 B410;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000112;PINO M10 B410;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000113;BOCAL M10 B410;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000114;FLAP DISC 4.1/2 GR 40 R822;MC;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000115;PASTA DESENGRAXANTE 4,5KG;MC;BD;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000116;ALICATE AMP. DIGITAL ET3200A;AI;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000117;PC-MOTOR DESL. MAX POWER MONO2;PA;PC;0001;SEM CLASSIFICACAO;8509.80.00;;;;;
000000000000118;PC-POLIA DO MOTOR DESL.MAX(ALU;PA;PC;0001;SEM CLASSIFICACAO;8509.90.00;;;;;
000000000000119;POSICIONADOR CLM-6SPP;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000120;"CH. LATAO 2""X5/16""X1000MM";MP;MT;0001;SEM CLASSIFICACAO;.  .;;;;;
