FRAME DPS 475  LEITCH;DPS 475;BG475A0048;4156;;ALMOX-A3;10/08/2023;ALM A4 12/09/2021(INVT 08/2023);;
SPECTRUM ANALYZER 8591A HP;8591A (27/02/14);3122A02192;4443;CASA.43;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
SPECTRUM ANALYZER 9KHZ - 1.8GHZ HP;8590B;3108A01416;7668;ALMOX;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
SWITCH 3CBLUGZ4A 3COM;3CBLUGZ4A (24 PORTAS);219801A0AG9104L04003;7613;F&F;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);25/04/2023;VEIO F&F WORK
"MONITOR TV 40"" SONY";KDL-40EX525;1034844  4-273-666-21;8334;MANUTENÇÃO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);06/04/2023;
MONITOR DUO S.V BLACK MAGIC;DUO S.V;1682385;8339;CARRO ALUGADO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);17/04/2023;VEIO F&F WORK ?
LNB 5150RF NORSAT;5150RF;2102-N20204-02240;8349;LABORATORIO;ALMOX;26/07/2023;ALM D1 26/07/2023 (V.GUILHERME);26/04/2023;VEIO PEDRO SEM NOTA
FILTRO 5G C-BAND HFL-GL3742C ZATECH;HFL-GL3742C (5G);HFL202208301;8386;RECIFE FLY 01 CASSIO;CASA.44;31/07/2023;INSTALADO C.44 28/07/2023 (PEDRO);09/05/2023;VEIO LUIZ CLAUDIO SEM NOTA
ENCODER KYRION CM5000E ATEME;KYRION CM5000E;2311-00520;8422;IMPORTAÇÃO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);12/05/2023;DI: 23/0906295-1
ENCODER KYRION CM5000E ATEME;KYRION CM5000E;2311-00527;8428;IMPORTAÇÃO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);12/05/2023;DI: 23/0906295-1
ENCODER KYRION CM5000E ATEME;KYRION CM5000E;2311-00531;8427;IMPORTAÇÃO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);12/05/2023;DI: 23/0906295-1
