FRAME DPS 475  LEITCH;DPS 475;BG475A0048;4156;;ALMOX-A3;10/08/2023;ALM A4 12/09/2021(INVT 08/2023);;
MESA DE AUDIO 01V96I YAMAHA;01V96I;UASY01057;4069;CASA.03;VILA MATILDE ;28/07/2022;SAIU VILA MATILDE 28/07/2022 (KLEBERSON/CARLOS);;
PAINEL PNET1604 PESA;PNET1604;653206I14200039;7182;ALMOX;VILA MATILDE;28/07/2022;SAIU VILA MATILDE 28/07/2022 (KLEBERSON/CARLOS);24/08/2020;
PAINEL PNET1604 PESA;PNET1604;653206I14200034;7180;ALMOX;VILA MATILDE;28/07/2022;SAIU VILA MATILDE 28/07/2022 (KLEBERSON/CARLOS);;
PAINEL PNET1604 PESA;PNET1604;653206I14200037;7181;ALMOX;VILA MATILDE;28/07/2022;SAIU VILA MATILDE 28/07/2022 (KLEBERSON/CARLOS);;
BELT PACK EM-202 ALTAIR;EM-202;1400470EM;4328;PREDIO;PREDIO 197;27/07/2022;SAIU PREDIO 197 27/07/2022 (KAIQUE);;
DECODER DR5000 ATEME;DR5000 HEVC;1720-05699;7156;CASA.20;RBS - PORTO ALEGRE;27/07/2022;ESTA INSTALADO NA RBS PORTO ALEGRE 27/07/2022 (ANDRESS);;
FONE AM-100/2S ALTAIR;AM-100/2S;N/C;7171;ALMOX;PREDIO 197;27/07/2022;SAIU PREDIO CINELIVE 27/07/2022 (KAIQUE);;
MIC PAINEL NTERCOM ALTAIR;PAINEL INTERCOM;SEM SERIAL;7172;ALMOX;PREDIO 197;27/07/2022;SAIU STUDIO CINELIVE 27/07/2022 (KAIQUE);27/07/2022;
HIBRIDA 4W2-200 ALTAIR;4W2-200;1300707;4076;PREDIO CINELIVE;ALMOX;21/07/2022;ALM E3 21/07/2022 (V. PREDIO CINELIVE KAIQUE);;
HIBRIDA 4W2-200 ALTAIR;4W2-200;1300691;4042;PREDIO CINELIVE;ALMOX;21/07/2022;ALM E3 21/07/2022 (V. PREDIO CINELIVE KAIQUE);;
REMOTE 16R250012000C ADVANTECH;16R250012000C;AMT-C10001;4202;CASA.38;LABORATORIO TESTE;21/07/2022;SAIU LABORATORIO  21/07/2022 (CASSIO);;
SPECTRUM ANALYZER 8590B HP;8590B;3009A00983;4706;CASA.32;CASA.19;20/07/2022;SAIU C.19 20/07/2022 (OSMAR);;
GERADOR 8HDKAU-4193R CUMMINS;8HDKAU-4193R;F130525596;4401;CASA.31;ILHA (PARATI);19/07/2022;SAIU ILHA PARATI 19/07/2022 ;;
HPA ARMU-LC400 ADVANTECH;ARMU-LC400;AMT-B50283;4360;BETA MANUTENÇÃO ;CONTEINER BRANCO;27/07/2023;INSTALADO CONTEINER BRANCO 2022;;
PATCH PPE2226SVJTBK ADC;PPE2226SVJTBK;;4369;CASA.31;CASA.19;19/07/2022;INSTALADO C.19 19/07/2022 INVT 2022;;
 CONVERSOR MINI  3GDA AJA;3GDA;620441;4880;VILA MATILDE;CASA.53;18/07/2022;INSTALADO C.53 18/07/2022 (FELIPE);28/03/2022 - DI-22/0566706-7;
 CONVERSOR MINI  3GDA AJA;3GDA;620471;4885;PEDRO EMPRESTIMO;CASA.53;18/07/2022;INSTALADO C.53 18/07/2022 (FELIPE);28/03/2022 - DI-22/0566706-7;
 CONVERSOR MINI  3GDA AJA;3GDA;620481;4879;PEDRO EMPRESTIMO;MCR 2;15/07/2022;SAIU MCR 2 15/07/2022 (KAIQUE);28/03/2022 - DI-22/0566706-7;
 CONVERSOR MINI  3GDA AJA;3GDA;620478;4887;PEDRO EMPRESTIMO;MCR 2;15/07/2022;SAIU MCR 2 15/07/2022 (KAIQUE);28/03/2022 - DI-22/0566706-7;
FRAME FA-9500 FOR A;FA-9500;13712561;4204;CASA.31;CASA.19;15/07/2022;INTALADO C.19 15/07/2022 (V.C.31)LUCAS;21/09/2021 (V.C.38 C/ETIQUETA TRANSLINK);
FRAME FA-9500 FOR A;FA-9500;13711477;4396;CASA.31;CASA.19;15/07/2022;INTALADO C.19 15/07/2022 (V.C.31)LUCAS;;
GERADOR 8HDKAU-41934R CUMMINS;8HDKAU-41934R;K130599041;4373;CASA.19;CASA.19;15/07/2022;INTALADO C.19 15/07/2022 (V.C.31)LUCAS;;
MONITOR AUDIO E-MON-1 DOLBY WOHLER;E-MON-1 DOLBY;15697;4907;CASA.31;CASA.19;15/07/2022;INTALADO C.19 15/07/2022 (V.C.31)LUCAS;28/03/2022 - DI-22/0566706-7;
MONITOR PBM-317S  PLURA;PBM-317S;12APL173S0360;4405;CASA.31;CASA.19;15/07/2022;INTALADO C.19 15/07/2022 (V.C.31)LUCAS;;
NOBREAK 9PX6 KVA EATON;9PX6 KVA  ;G203L01065;4379;CASA.19;CASA.19;15/07/2022;INTALADO C.19 15/07/2022 (V.C.31)LUCAS;15/09/2020;
NOBREAK 9PX6 KVA EATON;9PX6 KVA  ;G203L50012;7143;CASA.19;CASA.19;15/07/2022;INTALADO C.19 15/07/2022 (V.C.31)LUCAS;15/07/2022 (NÃO CONST SIST);
RECEPTOR UC-IRD+ UPCOM;UC-IRD+;LAPK142040056;4408;CASA.31;CASA.19;15/07/2022;INTALADO C.19 15/07/2022 (V.C.31)LUCAS;;
TRIPE LOWEL;;SEM SERIAL;7146;;BULBA EMPRESTIMO;15/07/2022;SAIU EMPRESTIMO BULBA 15/07/2022 (CASSIO /ALEX);;
CONVERSOR 3G SDI TO HDMI SEEONE;3G SDI TO HDMI;SEM SERIAL;7111;MCR;MCR 2;13/07/2022;SAIU MCR 2 13/07/2022 (CAIO);05/07/2022 (V.MCR CAIO) S.NOTA;
CONVERSOR 3G SDI TO HDMI SEEONE;3G SDI TO HDMI;SEM SERIAL;7112;MCR;MCR 2;13/07/2022;SAIU MCR 2 13/07/2022 (CAIO);05/07/2022 (V.MCR CAIO) S.NOTA;
MONITOR LM6015A11-02  KROMA;LM6015A11-02;02-8A18-0346;4058;CASA.19;MCR 2;13/07/2022;SAIU MCR 2 13/07/2022 (KLEBERSON);;
MONITOR PBM-217S PLURA;PBM-217S;10KPL170L280147;7141;LABORATORIO;FLY;13/07/2022;INSTALADO NA FLY;;
REMOTE 16R250012000C ADVANTECH;16R250012000C;AMT-C10000;4534;LABORATORIO;BETEL MANUTENCAO;13/07/2022;SAIU MANUTENÇÃO BETEL 13/07/2022;;
SPECTRUM PSA 45D AVCOM;PSA 45D ;06061010;7140;PREDIO 197;ALMOX-C3;18/08/2023;ALM C3 18/08/2023 (V.PREDIO 197 DAVID);30/05/2022 - DI- 22/1020652-8;
DISTRIB SDI 4K BLACK MAGIC;SDI 4K;8389631;7056;EVENTO KLEBERSON;TI - WALTER;12/07/2022;SAIU TI  12/07/2022 (WALTER RETIRADO POR KLEBERSON);11/05/2020;
ATA VOIP GRANDSTREAM;ATA VOIP;207GJVLMA1717506;7135;;CLUB ATLETICO PARANAENSE;11/07/2022;SAIU EMPRESTIMO CLUB ATLETICO PARANAENSE;11/07/2022 (V.DANIEL TI);
CHAVE HPA XTC-120D XICOM TECH;XTC-120D;21998;7132;;BETA MANUTENÇÃO;11/07/2022;SAIU MANUTENÇÃO BETA 11/07/2022;22/06/2018 (V.LUCIANO NEGOCIADO);
CHAVE XTC-110D XICOM TECNOLOGY;XTC-110D;8786;4476;CASA.53;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);ETIQUETA PROVALVELMENTE ALTERADA;
CHAVE XTC-110D XICOM TECNOLOGY;XTC-110D;8164;4397;CASA.31;CASA.30;11/07/2022;SAIU C.30 11/07/2022 (CASSIO);;
DECODER DR5000 ATEME;DR5000 HEVC;1903-08040;4371;CASA.19;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);;
DECODER DR5000 ATEME;DR5000 HEVC;1840-07776;8016;CASA.32;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);;
ENCODER CM5000 ATEME;CM5000 HEVC;1841-07819;4046;CASA.03;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);17/05/2019;
ENCODER CM5000 ATEME;CM5000 HEVC;1847-08122;4048;CASA.03;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);17/05/2019;
FRAME FA-9500 FOR A;FA-9500;13711487;4370;CASA.19;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);;
FRAME FA-9500 FOR A;FA-9500;13711474;4395;CASA.31;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);;
GERADOR 12HDKCD-5241G CUMMINS;12HDKCD-5241G;B140640561;7136;SEPARADO CASA.36;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);01/09/2020;
MODULDOR AZ110 NEWTEC;AZ110 UP 16APSK;40001847;7074;CASA.53;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);;
MONITOR AUD AMP1A-LP10S WOHLER;AMP1A-LP10S;117996;7016;CASA.20;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);;
MONITOR AUDIO E-MON-1 DOLBY WOHLER;E-MON-1 DOLBY;119369;4905;ALMOX;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);28/03/2022 - DI-22/0566706-7;
MULTIVIWER DMON-16S DECIMATOR;DMON-16S;VPA20551;4149;CASA.52;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);15/09/2021 (V.C.03( NÃO CONST. NO SIST);
NOBREAK 9PX6KI EATON;9PX6KI;G203M05022;7072;NOVO;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);01/12/2021 NF: 2011611 - INGRAM;
NOBREAK 9PX6KI EATON;9PX6KI;G203M08002;7071;NOVO;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);01/12/2021 NF: 2011611 - INGRAM;
NOBREAK 9PX6KI EATON;9PX6KI;G203M08004;4945;NOVO;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);01/12/2021 NF: 2011611 - INGRAM;
NOBREAK 9PX6KI EATON;9PX6KI;G203M08008;7073;NOVO;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);01/12/2021 NF: 2011611 - INGRAM;
RECEP BE-IRD-5502PH TELAIRITY;BE-IRD-5502PH.264;PK06001040074;4085;ALMOX;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);;
RECEP BE-IRD-5502PH TELAIRITY;BE-IRD-5502PH;PK09001210127;4264;CASA.33;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);;
SPECTRUM ANALYZER 8591E HP;8591E;3710A06487;4655;PREDIO CINELIVE;CASA.53;11/07/2022;INSTALADO C.53 11/07/2022 (INVT 2022);;
DECODER DR5000 ATEME;DR5000;1327-00246;7121;BETEL (MANUTENÇÃO;CONTEINER BRANCO;07/07/2022;INSTALADO CONTEINER BRANCO 2022;;
DECODER DR5000 ATEME;DR5000;1541-03126;7123;BETEL (MANUTENÇÃO;CONTEINER BRANCO;07/07/2022;INSTALADO CONTEINER BRANCO 2022;;
HPA ARMU-LC400 ADVANTECH;ARMU-LC400;AMT-B50282;4361;CANÇÃO NOVA;CONTEINER BRANCO;27/07/2023;INSTALADO CONTEINER BRANCO 2022;;
ENCODER EDBOX EDSOLUTIONS;EDBOX;HYDEHD-051011;7110;CONTEINER BAND;MCR;06/07/2022;SAIU MCR 06/07/2022 (LUCAS);;
CONVERSOR 3G SDI TO HDMI SEEONE;3G SDI TO HDMI;SEM SERIAL;7103;NOVO;CONTEINER BRANCO;05/07/2022;SAIU CONTEINER BAND 05/07/2022 (CASSIO);05/07/2022 (V.MCR CAIO) S.NOTA;
DEMODULADOR NS2000 NOVELSAT;NS2000;00290;7084;ALMOX; MCR ;01/07/2022;SAIU MCR 201/07/2022 (LUCAS);;
SWITCHER HVS-XT110 FOR A;HVS-XT110;15110165;4863;CASA.07;V.MATILDE (DEFEITO;01/07/2022;DEFEITO SAIU V.MATILDE 01/07/2022;;
FRAME X75HD LEITCH;X75HD;LHTI0245791006;4842;PREDIO;CONTEINER BRANCO;29/06/2022;SAIU CONTEINER BAND 29/06/2022 (CASSIO);;
FRAME X75HD LEITCH;X75HD;LHTI0245791022;4843;PREDIO ;CONTEINER BRANCO;29/06/2022;SAIU CONTEINER BAND 29/06/2022 (CASSIO);;
FRAME X75HD LEITCH;X75HD;LHTI0245791032;4848;CONTEINER BAND;PREDIO ;29/06/2022;SAIU PREDIO 29/06/2022 (CASSIO);;
FRAME X85-RCP HARRIS;X85-RCP;LHTI0245835036;4847;CONTEINER BAND;PREDIO;29/06/2022;SAIU PREDIO 29/06/2022 (CASSIO);;
MONITOR 9'' PBM-209-3G PLURA;PBM-209-3G;11APL090G0156;7079;ALMOX;CASA.53;29/06/2022;SAIU.CASA.53 29/06/2022 (FELIPE);;
ENCODER CM5000 ATEME;CM5000 HEVC;1841-07820;4198;CASA.38;SEPARADO DEFEITO;28/06/2022;SAIU MANUTENÇÃO TECSYS 05/05/2022;17/05/2019;
CONVERSOR 3G SDI TO HDMI SEEONE;3G SDI TO HDMI;SEM SERIAL;7113;NOVO;MCR;27/06/2022;SAIU MCR 27/06/2022 (CAIO);05/07/2022 (V.MCR CAIO) S.NOTA;
CONVERSOR 3G SDI TO HDMI SEEONE;3G SDI TO HDMI;SEM SERIAL;7114;NOVO;MCR;27/06/2022;SAIU MCR 27/06/2022 (CAIO);05/07/2022 (V.MCR CAIO) S.NOTA;
CONVERSOR 3G SDI TO HDMI SEEONE;3G SDI TO HDMI;SEM SERIAL;7115;NOVO;MCR;27/06/2022;SAIU MCR 27/06/2022 (CAIO);05/07/2022 (V.MCR CAIO) S.NOTA;
CONVERSOR 3G SDI TO HDMI SEEONE;3G SDI TO HDMI;SEM SERIAL;7116;NOVO;MCR;27/06/2022;SAIU MCR 27/06/2022 (CAIO);05/07/2022 (V.MCR CAIO) S.NOTA;
CONVERSOR 3G SDI TO HDMI SEEONE;3G SDI TO HDMI;SEM SERIAL;7117;NOVO;MCR;27/06/2022;SAIU MCR 27/06/2022 (CAIO);05/07/2022 (V.MCR CAIO) S.NOTA;
MODULADOR AZ212 NEWTEC;AZ212;40000164;7076;CASA.53;ALMOX-A3;10/08/2023;ALM A3 27/06/2022 (V.C.53 CASSIO)(INVT 08/2023);05/05/2022 (NÃO CONSTAVA SIST.;
SPECTRUM ANALYZER 8594E HP;8594E;3543A02560;7077;CASA.03;CASA.53;27/06/2022;INSTALADO C.53 27/06/2022 INVT);;
FRAME X75HD LEITCH;X75HD;LHTI0242570016  SO PC;4846;CONTEINER BAND;ALMOX-A3;10/08/2023;ALM A3 24/06/2022 (V.CONTEINER BAND CASSIO)(INVT 08/2023);;
ROUTER NTW-VD1616NRC  MIRANDA;NTW-VD1616NRC;0505-0035;7062;ALMOX;ALMOX;24/06/2022;ALM RACK 24/06/2022 INVT;;
CAIXA MSP3 YAMAHA;MSP3;KM01817;4320;ALMOX;CASA.53;23/06/2022;SAIU.CASA.53 23/06/2022 (OSMAR);;
 CONVERSOR MINI  3GDA AJA;3GDA;620480;4889;PEDRO EMPRESTIMO;PREDIO 197;21/06/2022;SAIU  PREDIO CINELIVE 21/06/2022 DANIEL;28/03/2022 - DI-22/0566706-7;
CONV IP TVG420 T-VIPS;TVG420;01983;7059;ALMOX;MCR;17/06/2022;SAIU MCR 17/06/2022 (LUCAS);;
CONV IP TVG430 T-VIPS;TVG430;01206;7058;ALMOX;MCR;17/06/2022;SAIU MCR 17/06/2022 (LUCAS);;
CONVER ANALG TO SDI BLACK MAGI;ANALOG TO SDI;1829814;8020;ALMOX;ALMOX;15/06/2022;ALM CASE 15/06/2022 INVT 2022;;
CONVER ANALG TO SDI BLACK MAGI;ANALOG TO SDI;1831137;8018;ALMOX;ALMOX;15/06/2022;ALM CASE 15/06/2022 INVT 2022;;
CONVER ANALG TO SDI BLACK MAGI;ANALOG TO SDI;322135;8019;ALMOX;ALMOX;15/06/2022;ALM CASE 15/06/2022 INVT 2022;;
CONVER ANALG TO SDI BLACK MAGI;ANALOG TO SDI;1831371;4045;CASA.47;ALMOX;15/06/2022;ALM CASE 15/06/2022 INVT 2022;;
PAINEL SWITCHER ATEM 2M/E BLACKMAGIC;ATEM 2M/E CONSTELLATION HD;9786565;1326;NOVO;VILA MATILDE;13/06/2022;SAIU DIRETO V. MATILDE 13/06/2022;13/06/2022;COMPRA ALEX  NÃO NOTA)
BASE DE CAMERA VCT-14 SONY;VCT-14;4013044697;8013;ALMOX;ALMOX;06/06/2022;CONTEINER DE PRODUÇÃO  16/05/2022;;
BASE DE CAMERA VCT-14 SONY;VCT-14;4013044888;8014;ALMOX;ALMOX;06/06/2022;CONTEINER DE PRODUÇÃO  16/05/2022;;
UPCONVERTER U-9353 MITEQ;U-9353;171824;7841;NOVO;ALMOX-A3;10/08/2023;ALM A2 06/06/2022 (NOVO VEIO IMPORTAÇÃO)(INVT 08/2023);30/05/2022 - DI- 22/1020652-8;
UPCONVERTER U-9693-1 MITEQ;U-9693-1;960421;7842;NOVO;ALMOX-A3;10/08/2023;ALM A2 06/06/2022 (INVT 08/2023);30/05/2022 - DI- 22/1020652-8;
MONITOR AUD AMP1A-LP10S WOHLER;AMP1A-LP10S;112228;4203;CASA.38;ALMOX-B2;18/08/2023;ALM B2 20/08/2021 (V.C.38 DODO) INVT2022;21/09/2021 (NÃO CONSTAVA SIST.;
MONITOR AUD AMP1A-LP10S WOHLER;AMP1A-LP10S;117999;4119;CASA.52;ALMOX-B2;18/08/2023;ALM B2 12/01/2022 (V.C.52 FELIPE) INVT2022;;
MONITOR AUD AMP1A-LP10S WOHLER;AMP1A-LP10S;40772;7042;CASA.14;ALMOX-B2;18/08/2023;ALM B2 2020/02/07/20 (V.C.14 FELIPE) INVT2022;;
MONITOR AUD AMP1A-LP10S WOHLER;AMP1A-LP10S;91345;4368;CASA.19;ALMOX-B2;18/08/2023;ALM B2 04/11/2021 (KILKA ) INVT2022;;
BUC C-BAND 2W NJT5667F JRC;NJT5667F;A06880E28;7037;V.BRASILIA;LABORATORIO;30/05/2022;SAIU LABORATORIO CASSIO 30/05/2022;30/05/2022 (NÃO CONST. SIST);
CHIPCELL ITC 4000I INTELBRAS;ITC 4000I;DCRB0401912AI;4258;CASA.53;ALMOX;27/05/2022;ALM.D3 27/05/2022 (V.C.53 CASSIO);;
ENCODER E5710 TANDBERG;E5710;TB12582;4661;CASA.53;ALMOX-A4;17/08/2023;V.CASA.53 27/0252022 (CASSIO);;
HIBRIDA  ALO2 BIQUAD;ALO2;B3-0647;4057;CASA.47;ALMOX;27/05/2022;ALM.RACK 06 27/05/2022 (V.C.53 CASSIO);;
HIBRIDA 4W2-200 ALTAIR;4W2-200;1300704W2;4289;CASA.53;ALMOX;27/05/2022;ALM D2 27/05/2022 (V.C.53 CASSIO);;
MODUL. NTC 2177 NEWTEC VIASAT;NTC 2177;05070501;8003;MCR;ALMOX-A3;10/08/2023;V.CASA.53 27/05/2022 (CASSIO)(INVT 08/2023);;
MODULADOR NTC 2177 NEWTEC;NTC 2177;05070500;8004;MCR;ALMOX-A3;10/08/2023;V.CASA.53 27/05/2022 (CASSIO)(INVT 08/2023);;
SWITCH REDE DES-1024R -D-LINK; DES-1024R;C0VT12C007771;4165;CASA.03;ALMOX;27/05/2022;V.CASA.53 27/05/2022 (CASSIO);08/09/2021 (V.C.47- NÃO CONSTAVA NO SIST;
REMOTE DE ANTENA ACU400  IBRASAT;ACU400;SEM SERIAL;7033;CASA.20;CASA.38;16/05/2022;SAIU C.38 16/05/2022 (V.C.20);;
 CONVERSOR MINI  3GDA AJA;3GDA;620473;4884;VILA MATILDE;PREDIO 197;12/05/2022;SAIU PREDIO 12/05/2022 (EV. LIVE MOTION RODRIGO BAIÃO);28/03/2022 - DI-22/0566706-7;
HIBRIDA 4W2-200 ALTAIR;4W2-200;1300695;7023;CASA.20;ALMOX;12/05/2022;ALM E2 12/05/2022 (V.C2.20 CAIO);;
HIBRIDA 4W2-200 ALTAIR;4W2-200;1400730;7026;CASA.20;ALMOX;12/05/2022;ALM E2 12/05/2022 (V.C2.20 CAIO);;
HPA XTRS-200C XICOM TECHNOLOGY;XTRS-200C;14505A;4953;LABORATÓRIO;MCR;05/05/2022;SAIU MCR 05/05/2022 (CASSIO);;
DECODER DR5000 ATEME;DR5000 HEVC;1903-08032;4951;LABORATÓRIO;RECORD-SP (EMPRESTIMO);29/04/2022;SAIU EMPRESTIMO RECORD-SP 29/04/2022;;
INTERFACE CONNECT SOLO RIEDEL;CONNECT SOLO;000331;4950;ALMOX(DEFEITO);VILA MATILDE;26/04/2022;SAIU VILA MATILDE 26/04/2022 (CARLOS);;
INTERFACE CONNECT SOLO RIEDEL;CONNECT SOLO;000326;4949;ALMOX(DEFEITO);VILA MATILDE;26/04/2022;SAIU V. MATILDE 26/04/2022 (CARLOS);;
UP CONV.UCS5-004-2 COMSAT RSI;UCS5-004-2;511;4537;TV ALTEROSA (SBT);ALMOX-A3;10/08/2023;V.TV ALTEROSA. (ALM )26/04/2022 (CASSIO)(INVT 08/2023);;
HPA XTRS-200C XICOM TECHNOLOGY;XTRS-200C;13581;4388;CASA.32;MCR;13/04/2022;SAIU MCR 13/04/2022 (CASSIO);;ETIQUETA = 12721 (18/01/2022)
UP CONV.UCS5-004-2 COMSAT RSI;UCS5-004-2;0119;4539;MCR;TV ALTEROSA;13/04/2022;SAIU  TV ALTEROSA 13/04/2022 (CASSIO);;
BELT PACK EM-202 ALTAIR;EM-202;1400476EM;4327;PREDIO;PREDIO 197;12/04/2022;SAIU PREDIO 12/04/2022 (BIG);;
BELT PACK EM-202 ALTAIR;EM-202;1400463EM;4771;PREDIO;PREDIO 197;12/04/2022;SAIU PREDIO 12/04/2022 (BIG);;
FONE AM-100/2S ALTAIR;AM-100/2S;N/C;4932;ALMOX;PREDIO;12/04/2022;SAIU PREDIO 12/04/2022 (BIG);;
FONE AM-100/2S ALTAIR;AM-100/2S;N/C;4329;PREDIO;PREDIO 197;12/04/2022;SAIU PREDIO 12/04/2022 (BIG);;
FONE AM-100/2S ALTAIR;AM-100/2S;N/C;4092;CASA.47;PREDIO 197;12/04/2022;SAIU PREDIO 12/04/2022 (BIG);;
FONE AM-100/2S ALTAIR;AM-100/2S;N/C;4774;PREDIO;PREDIO 197;12/04/2022;SAIU PREDIO 12/04/2022 (BIG);;
FONE AM-100/2S ALTAIR;AM-100/2S;N/C;4773;PREDIO;PREDIO 197;12/04/2022;SAIU PREDIO 12/04/2022 (BIG);;
MESA DE AUDIO 01V YAMAHA;01V;H001773;4335;VILA MATILDE (BIG);EMPRESTIMO AMIGO ALEX;12/04/2022;SAIU EMPRESTIMO AMIGO ALEX 12/04/2022;;
MONITOR  AUDIO AMP2-S8 WOHLER;AMP2-S8;136526;4900;NOVO;VILA MATILDE;12/04/2022;SAIU V.MATILDE C.54 25/04/2022 (CARLOS);28/03/2022 - DI-22/0566706-7;
MONITOR  AUDIO AMP2-S8 WOHLER;AMP2-S8;118314;4898;NOVO;VILA MATILDE;12/04/2022;SAIU V.MATILDE C.54 25/04/2022 (CARLOS);28/03/2022 - DI-22/0566706-7;
MONITOR  AUDIO AMP2-S8 WOHLER;AMP2-S8;118313;4895;NOVO;VILA MATILDE;12/04/2022;SAIU V.MATILDE C.54 25/04/2022 (CARLOS);28/03/2022 - DI-22/0566706-7;
CONVERSOR MD-HX DECIMATOR;MD-HX;69477;4871;NOVO;VILA MATILDE;11/04/2022;SAIU V.MATILDE 11/04/2022 (LAUDSON);28/03/2022 - DI-22/0566706-7;
CONVERSOR MD-HX DECIMATOR;MD-HX;69474;4875;NOVO;VILA MATILDE;11/04/2022;SAIU V.MATILDE 11/04/2022 (LAUDSON);28/03/2022 - DI-22/0566706-7;
CONVERSOR MD-HX DECIMATOR;MD-HX;69462;4874;NOVO;VILA MATILDE;11/04/2022;SAIU V.MATILDE 11/04/2022 (LAUDSON);28/03/2022 - DI-22/0566706-7;
CONVERSOR MD-HX DECIMATOR;MD-HX;69467;4876;NOVO;VILA MATILDE;11/04/2022;SAIU V.MATILDE 11/04/2022 (LAUDSON);28/03/2022 - DI-22/0566706-7;
CONVERSOR MD-HX DECIMATOR;MD-HX;69476;4869;NOVO;VILA MATILDE;11/04/2022;SAIU V.MATILDE 11/04/2022 (LAUDSON);28/03/2022 - DI-22/0566706-7;
CONVERSOR MD-HX DECIMATOR;MD-HX;69471;4870;NOVO;VILA MATILDE;11/04/2022;SAIU V.MATILDE 11/04/2022 (LAUDSON);28/03/2022 - DI-22/0566706-7;
INTERFACE DANTE 8.8MR  AUDIOSCIENCE;8.8MR DANTE;116084;4868;NOVO;VILA MATILDE;11/04/2022;SAIU V.MATILDE 11/04/2022 (LAUDSON);28/03/2022 - DI-22/0566706-7;
MULTIFRAME 7800FR EVERTZ;7800FR;2871560104;4916;NOVO;VILA MATILDE;11/04/2022;SAIU V.MATILDE 11/04/2022 (LAUDSON);28/03/2022 - DI-22/0566706-7;
MULTIFRAME 7800FR EVERTZ;7800FR;2265070071;4917;NOVO;VILA MATILDE;11/04/2022;SAIU V.MATILDE 11/04/2022 (LAUDSON);28/03/2022 - DI-22/0566706-7;
MULTIFRAME 7800FR EVERTZ;7800FR;2237130100;4918;NOVO;VILA MATILDE;11/04/2022;SAIU V.MATILDE 11/04/2022 (LAUDSON);28/03/2022 - DI-22/0566706-7;
ENCODER EN8090 TANDBERG;EN8090;26966;4684;CASA.32;MCR;07/04/2022;SAIU MCR 07/04/2022 (CASSIO);27/10/2021 (V.SBT BELEM);
ENCODER EN8090 TANDBERG;EN8090;26905;4685;CASA.32;MCR;07/04/2022;SAIU MCR 07/04/2022 (CASSIO);27/10/2021 (V.SBT BELEM);
HPA XTRS-50C XICOM;STRS-50C;13013;4322;CASA.32;ALMOX;04/04/2022;ALM B4 04/04/2022 (V.32 CASSIO);22/07/2020;
MODULDOR AZ110 NEWTEC;AZ110;40000471;4132;LABORATORIO ;CASA.32;04/04/2022;SAIU C.32 11/05/2022 (CASSIO);;ALTERADO:40001840
AMPLIF AUDIO  PCR POWERCLICK;PCR;SEM SERIAL;4831;NOVO;CASA.07;29/03/2022;SAIU C.07 29/03/2022 (OSMAR);25/02/2022 DANFE KLEBERSON DEEP SOUND;
AMPLIF AUDIO  PCR POWERCLICK;PCR;SEM SERIAL;4866;NOVO;CASA.07;29/03/2022;SAIU C.07 29/03/2022 (OSMAR);29/03/2022 NÃO CONSTAVA SIST;
FONE SHL 3075 PHILPS;SHL 3075;SEM SERIAL;4035;NOVO(CINELIVE);CASA.07;29/03/2022;SAIU C.07 29/03/2022 (OSMAR);03/09/2021(V.CINELIVE SEM NOTA ALEX);
FONE SHL 3075 PHILPS;SHL 3075;SEM SERIAL;4037;NOVO(CINELIVE);CASA.07;29/03/2022;SAIU C.07 29/03/2022 (OSMAR);03/09/2021(V.CINELIVE SEM NOTA ALEX);
UP.CONV SCR6000BU VERTEX RSI;SCR6000BU;22123701;4540;TV ALTEROSA (SBT);ALMOX-A3;10/08/2023;ALM A3 23/03/2022 (V.LABORATORIO CASSIO)(INVT 08/2023);;
INTERCOM CM-CU21 SONIFEX;CM-CU21;TL0020939;4860;CASA.07;CASA.07;21/03/2022;ESTA NO C.07 21/03/2022 (INVT);;
MONITOR DT-V17L3D JVC;DT-V17L3D ;123E0059;4384;CASA.03;EVENTO RJ;21/03/2022;SAIU EVENTO RJ 21/03/2022 (KLEBERSON);05/11/2021 (NO SIST);
MONITOR DUO S.V BLACK MAGIC;DUO S.V;1732018;4747;ALMOX;EVENTO RJ;21/03/2022;SAIU EVENTO RJ 21/03/2022 (KLEBERSON);;
